stage,textbook_index,exam_tags,level,CEFR,主題,english_word,KK音標,中譯,例句,翻譯,例句2,翻譯2,例句3,翻譯3,例句4,翻譯4,例句5,翻譯5,Year_1,Part_1,Source_1,詞性,詞性變化,片語,同義字,反義字,易混淆字,字首,字尾,字根,意思,例子,videoUrl
高中,,106學測,,B1,,relaxing,/rɪˋlæksɪŋ/,(adj.) 放鬆的,"After a stressful week, a relaxing bath was enjoyed by everyone.",經過壓力重重的一周後，一次放鬆的沐浴受到了大家的享受。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B1,,embarrassing,/ɪmˋbærəsɪŋ/,(adj.) 令人尷尬的,It is crucial that he avoid any embarrassing situations during the interview.,他在面試期間避免任何令人尷尬的情況至關重要。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,,,appealing,/əˋpilɪŋ/,(adj.) 吸引人的,Never before had such an appealing job offer come his way.,從未有過如此吸引人的工作機會來到他面前。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B1,,defending,(無),(v.) 防守,"Having successfully defended its territory, the pack rested.",成功地捍衛了其領土後，這群動物休息了。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,barely,/ˋbɛrlɪ/,(adv.) 幾乎不,"She barely whispered, yet everyone sensed her urgency.",她幾乎只是耳語，但每個人都感受到了她的急迫。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B1,,fairly,/ˋfɛrlɪ/,(adv.) 相當,"Judged fairly by experts, the artwork won first prize.",經過專家公正的評斷，這件藝術品贏得了首獎。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,merely,/ˋmɪrlɪ/,(adv.) 僅僅,It was not her fault; it was merely a misunderstanding between them.,這不是她的錯；這僅僅是他們之間的誤會。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,readily,/ˋrɛdɪlɪ/,(adv.) 樂意地,He answered the challenging question with surprising readiness.,他以令人驚訝的樂意回答了這個挑戰性的問題。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,A2,,guide,/gaɪd/,(v.) 引導,"Our principal, who always guides us, inspires students greatly.",我們的校長，他總是引導我們，極大地激勵了學生。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,trace,/tres/,(v.) 追蹤,The ancient path was traced by early explorers decades ago.,這條古道是數十年前由早期探險家們追蹤出來的。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,code,/kod/,(n.) 編碼,The security chief demanded that a new access code be updated.,安全主管要求更新新的存取碼。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,A2,,print,/prɪnt/,(v.) 列印,The newspaper had printed that story before it was confirmed.,報社在消息證實前就已刊登了那篇報導。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,accessed,(無),(v.) 存取,"Although easily accessed, the confidential files were secure.",雖然容易存取，但這些機密文件是安全的。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,edited,(無),(v.) 編輯,"The video, heavily edited, perfectly matched the director's vision.",經過大量編輯的影片，完美符合導演的構想。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,C1,,imposed,(無),(v.) 強加,Citizens worried about the restrictions imposed on their freedom.,公民們擔憂對其自由施加的限制。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,C1,,urged,(無),(v.) 督促,"Despite their protests, the policy was urged by the committee.",儘管他們抗議，這項政策仍被委員會敦促推行。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,C1,,constitutions,(無),(n.) 憲法,Students learned about the constitutions that govern many nations.,學生們學習了管理許多國家的憲法。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,objections,(無),(n.) 反對,She had always objected to unfair treatment she experienced.,她一直反對她所經歷的不公平待遇。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B1,,sculptures,(無),(n.) 雕塑,"Though intricate sculptures, they were fragile and required care.",儘管是錯綜複雜的雕塑，它們卻很脆弱，需要細心呵護。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,A2,,adventures,(無),(n.) 冒險,"After many adventures, he finally returned to his homeland.",經過許多冒險後，他終於回到了故鄉。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,dip,/dɪp/,(v.) 浸,"The road dipped sharply, so we slowed down considerably.",路面急劇下降，所以我們顯著地減速了。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,beam,/bim/,(n.) 光束,"The bridge's main beam, though damaged, still held firm.",橋的主樑儘管受損，但依然堅固。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,C2,,spark,/spɑrk/,(n.) 火花,Her creative proposal had sparked innovative changes previously.,她富有創意的提案先前已激發了創新變革。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,A2,,path,/pæθ/,(n.) 路徑,"Had we chosen a different path, we might have arrived sooner.",如果我們選擇了不同的路徑，我們可能早就到了。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,,,enclosed,/ɪnˋklozd/,(v.) 圍住,"The old castle has been enclosed by walls for centuries, protecting its secrets.",這座古老城堡數世紀以來一直被城牆圍繞著，守護著它的秘密。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B1,,installed,(無),(v.) 安裝,"Before you arrived, I had installed the software on your computer.",你到來之前，我已經把軟體安裝在你的電腦上了。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,preserved,(無),(v.) 保留,Future generations will appreciate what we have preserved for them.,後代子孫會感謝我們為他們所保留的一切。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,rewarded,(無),(v.) 獎勵,"He studied diligently; therefore, he was rewarded with high scores.",他勤奮學習；因此，他獲得了高分。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,signal,/ˋsɪgn!/,(n.) 信號,"The traffic light gave a green signal; thus, cars could proceed safely.",交通號誌顯示綠燈信號；因此，汽車可以安全地通行。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,C1,,glory,/ˋglorɪ/,(n.) 榮耀,"Hard work leads to success; moreover, it brings lasting glory.",努力工作帶來成功；此外，它還帶來持久的榮耀。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,medal,/ˋmɛd!/,(n.) 獎牌,"He trained tirelessly; consequently, he earned a silver medal.",他孜孜不倦地訓練；結果，他贏得了一枚銀牌。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,profit,/ˋprɑfɪt/,(n.) 利潤,"Hoping for greater profit, the investor bought more stocks.",為了獲得更大的利潤，這位投資者購買了更多的股票。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,balanced,/ˋbælənst/,(v.) 平衡,"Having balanced the budget, the manager felt relieved.",預算平衡後，經理感到鬆了一口氣。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,C2,,calculated,/ˋkælkjə͵letɪd/,(v.) 計算,"The system, which calculated data precisely, sent its results instantly.",這個精確計算數據的系統，立刻傳送了它的結果。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,,,disguised,(無),(v.) 偽裝,She disguised herself so well that no one recognized her.,她偽裝得太好，以至於沒有人認出她。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,,,registered,/ˋrɛdʒɪstɚd/,(v.) 註冊,Many students have already registered for the exam this semester.,許多學生本學期已經報名參加考試了。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,aware,/əˋwɛr/,(adj.) 意識到,"She was acutely aware of the challenges ahead, despite her optimism.",儘管她很樂觀，但她清楚意識到前方的挑戰。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B1,,ashamed,/əˋʃemd/,(adj.) 羞愧的,"The student, who had cheated, felt deeply ashamed afterward.",那位作弊的學生，事後深感羞愧。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,doubtful,/ˋdaʊtfəl/,(adj.) 懷疑的,"The committee, whose decision was doubtful, reconsidered the proposal.",委員會，由於其決定有疑慮，重新考慮了這項提案。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B1,,guilty,/ˋgɪltɪ/,(adj.) 有罪的,The suspect was found guilty by the court.,嫌疑人被法庭判有罪。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,C1,,innocence,/ˋɪnəsns/,(n.) 無辜,Her innocence was proven by new evidence.,她的清白被新證據證明了。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,,,estimation,/͵ɛstəˋmeʃən/,(n.) 估計,It is vital that our estimation be accurate for the budget.,至關重要的是，我們的估計對於預算而言必須是準確的。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,C1,,assurance,/əˋʃʊrəns/,(n.) 保證,Never before has such an assurance been given to the team.,之前從未向團隊給出過這樣的保證。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,observation,/͵ɑbzɝˋveʃən/,(n.) 觀察,Scientists had been making careful observations of the comet for months before it unexpectedly disappeared.,科學家們在彗星意外消失之前，已經仔細觀察它好幾個月了。,,,,,,,,,,,,,,,,,,,,,,,
,,,L1,,,a/an,/ə/ ; /æn/,(art.) 一個 (不定冠詞),I need a pen and an eraser for my class.,我上課需要一支筆和一個橡皮擦。,"The invention of the steam engine, which was used to power heavy machines, brought about a revolutionary change in society.",蒸氣機的發明，用於為重型機器提供動力，給社會帶來了革命性的變化。,,,,,,,110,詞彙題,Question 6,art.,,,,,,,,,,,
高中,龍騰-B1-U4,,L1,B1,,ability,/əˋbɪlətɪ/,(n.) 能力；才能,Her ability to speak three languages is truly impressive.,她說三種語言的能力確實令人印象深刻。,"Which phrase on the forum discussion carries the meaning of ""building the ability to understand and share the feelings of others”?",論壇討論中，哪個詞組表達了「培養理解和分享他人感受的能力」的意思？,,,,,,,114,混合題-題目,Question 50,n.,"名詞
可數；複數: abilities",,power,,,,-ity (state or quality (狀態或特性)),,,,EoH-upg7U00
高中,龍騰-B1-U4,,L1,A2,,able,/ˋeb!/,(adj.) 能夠…的；有能力的,I hope you will be able to join us for dinner tonight.,我希望你今晚能和我們一起吃晚餐。,"By working collectively, the ants are able to improve the efficiency of their network and adapt to their ever-changing environment.",透過集體合作，螞蟻能夠提高其網絡的效率並適應不斷變化的環境。,,,,,,,113,混合題-文本,Mixed Questions Passage for 47-50,adj.,"形容詞
比較級: abler
最高級: ablest",,competent; fit; capable; healthy,,,,,,,,EoH-upg7U00
,,,L1,A1,,about,/əˋbaʊt/,(prep./adv.) 關於；大約,What are you talking about? Tell me everything!,你在說什麼？全部告訴我！,Which of the following statements about the prickly pear cactus is true?,以下關於仙人掌的陳述哪一項是正確的？,,,,,,,110,閱讀測驗-問題,Question 43,prep./adv.,,be about to 即將; be crazy about 為...瘋狂; bring about 導致; complain about 抱怨; worry about 擔心,near; some; nearly; almost,,,,,,,,
,,,L1,A1,,above,/əˋbʌv/,(prep./adv./adj.) 在…上面,Look at the stars shining brightly above us in the night sky.,看著夜空中在我們上方閃耀的星星。,"From (A) to (J) in the above forum discussion, which ONES show a positive attitude toward zoos?",在上述論壇討論中，從(A)到(J)的哪些項目對動物園抱持正面態度？,,,,,,,114,混合題-題目,Question 49,prep./adv./adj.,,,,beneath; below,,,,,,,
,,,L1,B1,,abroad,/əˋbrɔd/,(adv.) 在國外；到國外,Many young people dream of studying or working abroad after graduation.,許多年輕人夢想畢業後出國讀書或工作。,,,,,,,,,,,,adv.,,,foreign; overseas,,,,,,,,
,,,L1,A2,,across,/əˋkrɔs/,(prep./adv.) 穿過；橫越；在…對面,"A small bridge runs across the river, connecting two villages.",一座小橋橫跨河流，連接兩個村莊。,The Icelandic success is accomplished largely through cooperative efforts across various industries.,冰島的成功主要透過各行各業的合作努力來實現。,,,,,,,113,閱讀測驗-文本,Passage for 43-46,prep./adv.,,run across 偶遇; come across 偶遇,over,,,,,,,,
,,,L1,B1,,act,/ækt/,(n./v.) 行為；行動；(戲劇的)一幕,That was a brave act to stand up for your friend.,那是為了你的朋友挺身而出的勇敢行為。,"A stunt person is a man or a woman who performs dangerous acts, usually in the television or movie industry.",特技演員是指在電視或電影產業中表演危險動作的男或女人。,,,,,,,111,文意選填,Passage for 21-30,n./v.,"動詞
過去式: acted
過去分詞: acted
現在分詞: acting
第三人稱: acts

名詞
可數；複數: acts",,work; process; play; represent,,,,,,,,
,,,L1,B1,,action,/ˋækʃən/,(n.) 行動；行為,"It's time for action, not just words; we need to start working.",現在是行動的時候了，而不僅僅是說說而已；我們需要開始工作。,They lick the rails to pick up iron filings caused by the action of wheels against tracks.,牠們會舔舐鐵軌，以攝取車輪與鐵軌摩擦產生的鐵屑。,,,,,,,109,閱讀測驗-文本,Passage for 53-56,n.,"名詞
可數；複數: actions",spring into action 立即行動,activity,,,,,act (to do (做)),,,
,,,L1,,,actor/actress,/ˋæktɚ/ ; /ˋæktrɪs/,(n.) 男演員/女演員,The actress won an award for her outstanding performance in the movie.,那位女演員因其在電影中的出色表演而獲獎。,"In the early days of the film industry, actors themselves shot acrobatic acts and dangerous scenes, until they began to get injured.",在電影業早期，演員們會親自拍攝特技動作和危險場景，直到他們開始受傷。,,,,,,,111,文意選填,Passage for 21-30,n.,"名詞
可數；複數: actors",,,,,,,,,,
,,,L1,A2,,add,/æd/,(v.) 增加；添加,Please add some sugar to my coffee; it's a bit bitter.,請在我的咖啡裡加點糖；它有點苦。,"Well, they taste good if you add plenty of spices and sauces.",嗯，如果你加足夠的香料和醬汁，它們味道不錯。,,,,,,,112,混合題-文本,Chatroom Discussion H,v.,"動詞
過去式: added
過去分詞: added
現在分詞: adding
第三人稱: adds",,supply; contribute; total; lend,deduct; subtract,,,,,,,
,,,L1,A2,,afraid,/əˋfred/,(adj.) 害怕的；擔心的,Don't be afraid to ask questions if you don't understand.,如果你不懂，不要害怕提問。,,,,,,,,,,,,adj.,"形容詞
比較級: afraider
最高級: afraidest",,,,,,,,,,
,,,L1,A1,,after,/ˋæftɚ/,(prep./conj./adv.) 在…之後,We went for a walk after dinner to enjoy the cool evening air.,晚飯後我們去散步，享受涼爽的夜晚空氣。,"Young men wear black for several months after their circumcision, a ritual signifying their coming of age.",年輕男性在割禮後會穿黑色數月，這是一種象徵成年禮的儀式。,,,,,,,111,閱讀測驗-文本,Passage for 35-38,prep./conj./adv.,,come after 追趕; clean up after 善後; look after 照顧,later,,,,,,,,
,,,L1,A1,,afternoon,/ˋæftɚˋnun/,(n.) 下午；午後,Let's meet at the café this afternoon around 3 o'clock.,我們今天下午3點左右在咖啡廳見面吧。,High tea was served later in the day than afternoon tea in the nineteenth century.,十九世紀時，高茶比下午茶晚供應。,,,,,,,106,閱讀測驗-答案選項,Question 56,n.,"名詞
可數；複數: afternoons",,,,,,,,,,
,,,L1,A1,,again,/əˋgɛn/,(adv.) 再一次；又,Could you please say that again? I didn't quite catch it.,你能再說一次嗎？我沒完全聽清楚。,"Two years later, it was awarded first prize again at Houston's first annual Invention Fair.",兩年後，它在休士頓第一屆年度發明展中再次榮獲首獎。,,,,,,,105,閱讀測驗-文本,Passage for Questions 45-48,adv.,,,,,,,,,,,
,,,L1,A1,,age,/edʒ/,(n./v.) 年齡；時代,What is the legal voting age in your country?,在你的國家，合法的投票年齡是多少？,Moran came to the United States at age 7 with his family and settled in Philadelphia.,莫蘭七歲時與家人來到美國，定居於費城。,,,,,,,113,閱讀測驗-文本,Passage for 39-42,n./v.,"動詞
過去式: aged
過去分詞: aged
現在分詞: aging
第三人稱: ages

名詞
可數；複數: ages",,mature,,,,,,,,
,,,L1,A2,,ago,/əˋgo/,(adv.) …以前,She moved to Taipei two years ago to pursue her studies.,她兩年前搬到台北攻讀學業。,Capoeira was created nearly 500 years ago in Brazil by African slaves.,卡波耶拉是將近500年前，由非洲奴隸在巴西創立的。,,,,,,,106,閱讀測驗-文本,Passage for Q45-48,adv.,,,past,,,,,,,,
,,,L1,,,agree(ment),/əˋgri/ ; /əˋgrimənt/,(v./(n.)) 同意,I agree with you; it's a great idea for our project.,我同意你；這對我們的專案來說是個好主意。,"Scientists agree that synesthesia has a genetic basis, because it frequently runs in families.",科學家們同意聯覺有遺傳基礎，因為它經常在家族中出現。,,,,,,,112,篇章結構,Passage for 31-34,n.,,,,,,,,,,,
,,,L1,A2,,air,/ɛr/,(n.) 空氣；空中,The air quality in the city has improved greatly this year.,今年城市的空氣品質改善了很多。,"Some hotels may not provide air conditioning in the capsules, leading to poor air flow.",有些旅館可能不在膠囊內提供空調，導致空氣流通不佳。,,,,,,,114,篇章結構,Passage for Q31-34,n.,"名詞
不可數",,strain; beam; line; bare,,heir; err,,-er / -or (one who/that does (做某事的人／物)),,,,
,,,L1,,,airplane/plane,/ˋɛr͵plen/ ; /plen/,(n.) 飛機,My little brother loves watching airplanes take off and land at the airport.,我弟弟喜歡看飛機在機場起降。,"Airline passengers may have noticed that all plane windows have rounded edges, instead of the hard corners commonly found in our house.",搭機的旅客可能已經注意到，所有飛機的窗戶都是圓角的，而非我們家中常見的硬角。,,,,,,,111,綜合測驗,Passage for 16-20,n.,"名詞
可數；複數: airplanes",,,,,,,,,,
,,,L1,A2,,airport,/ˋɛr͵port/,(n.) 機場,We arrived at the airport three hours early for our international flight.,為了我們的國際航班，我們提早三小時抵達機場。,,,,,,,,,,,,n.,"名詞
可數；複數: airports",,,,,,,,,,
,,,L1,A1,,all,/ɔl/,(adj./adv./pron./n.) 所有的；全部的,"All the students passed the exam, so the teacher was very proud.",所有學生都通過了考試，所以老師非常驕傲。,Some studies even show that people may all be synesthetic to some degree.,有些研究甚至顯示，人們可能或多或少都有點聯覺。,,,,,,,112,篇章結構,Passage for 31-34,adj./adv./pron./n.,,all Greek to 完全不懂; by all means 務必,complete; altogether; whole,part; partly,,,,,,,
,,,L1,B1,,allow,/əˋlaʊ/,(v.) 允許；准許,My parents don't allow me to play video games late at night.,我的父母不允許我深夜玩電動。,Gaps in the treetops resulting from crown shyness may allow trees to increase their exposure to light and enhance photosynthesis.,樹冠羞避所形成的樹梢間隙可能使樹木增加對光的曝曬，並增強光合作用。,,,,,,,112,綜合測驗,Passage for 11-15,v.,"動詞
過去式: allowed
過去分詞: allowed
現在分詞: allowing
第三人稱: allows",,appropriate; admit; permit; leave,refuse; keep; prevent; deny,,,,,,,
,,,L1,A2,,almost,/ˋɔl͵most/,(adv.) 幾乎；差不多,"I was so hungry, I almost ate two bowls of rice for dinner.",我太餓了，晚餐差點吃了兩碗飯。,Critics of the country say that drinking is almost an inherent trait of the Russian people.,該國的評論家說，飲酒幾乎是俄羅斯人民固有的特質。,,,,,,,114,閱讀測驗-文本,Passage for Q43-46,adv.,,,near; about; nearly; most,,,,,,,,
,,,L1,A2,,along,/əˋlɔŋ/,(prep./adv.) 沿著,"We walked along the riverbank, enjoying the peaceful scenery.",我們沿著河岸散步，享受著寧靜的風景。,"An agreeable person is usually pleasant and easy to get along with, but don't expect that he or she will always say ""yes"" to everything.",一個性情隨和的人通常是令人愉快且容易相處的，但別指望他／她會對所有事情都說「好」。,,,,,,,111,詞彙題,Question 6,prep./adv.,,bring along 帶來; get along with 相處,on,,,,,,,,
,,,L1,A2,,already,/ɔlˋrɛdɪ/,(adv.) 已經,I don't need to do my homework; I've already finished it.,我不需要寫功課了；我已經寫完了。,"Due to its low cost, this innovative material is already being used by many leading fashion companies to make their products.",由於成本低廉，這種創新材料已經被許多領先的時尚公司用於製造其產品。,,,,,,,108,綜合測驗,Passage for Q21-25,adv.,,,,,all ready,,,,,,
,,,L1,A1,,also,/ˋɔlso/,(adv.) 也；同樣,"My brother likes to play basketball, and I also enjoy playing it.",我哥哥喜歡打籃球，我也喜歡打。,The disappearance of the glaciers will also leave a significant cultural impact.,冰川的消失也將帶來顯著的文化影響。,,,,,,,110,綜合測驗,Passage for 26-30,adv.,,,likewise; besides; too,,,,,,,,
,,,L1,B1,,although,/ɔlˋðo/,(conj.) 雖然；儘管,"Although it was raining, we still decided to go for a walk.",雖然下著雨，我們還是決定去散步。,"Although all book towns have a great number of bookshops, that's where the similarities end.",儘管所有書鎮都有大量的書店，但它們的相似之處僅止於此。,,,,,,,111,綜合測驗,Passage for 11-15,conj.,,,though,,,,,,,,
,,,L1,A1,,always,/ˋɔlwez/,(adv.) 總是；一直,My grandfather always tells interesting stories about his adventures.,我爺爺總是講他冒險的有趣故事。,The team complained that its leader always took the credit for all the hard work done by the team members.,這個團隊抱怨他們的組長總是把所有組員辛苦付出的功勞都攬在自己身上。,,,,,,,113,詞彙題,Question 7,adv.,,,ever; forever,never,,,,,,,
,,,L1,,,am/a.m.,/æm/ ; /͵eˋɛm/,(adv.) 上午,I have to wake up at 6 am every weekday for school.,我每個平日都必須在早上六點起床上學。,,,,,,,,,,,,adv.,,,,,,,,,,,
,,,L1,A1,,and,/ænd/,(conj.) 和；而且；然後,"We went to the library, and then we studied for our final exams.",我們去了圖書館，然後我們準備期末考。,"Beaded jewelry is made by women, and is famous for its complexity.",串珠飾品由女性製作，以其複雜精緻而聞名。,,,,,,,111,閱讀測驗-文本,Passage for 35-38,conj.,,,,,,,,,,,
,,,L1,A2,,angry,/ˋæŋgrɪ/,(adj.) 生氣的；憤怒的,My mom gets angry when I don't clean my room.,當我沒打掃房間時，我媽媽會生氣。,,,,,,,,,,,,adj.,"形容詞
比較級: angrier
最高級: angriest",,indignant; wild; black; sore,,,,,,,,
,,,L1,A1,,animal,/ˋænəm!/,(n.) 動物,Pandas are cute animals that live in the mountains of China.,熊貓是住在中國山區的可愛動物。,It's easier to learn about an animal by seeing them in person.,親自看到動物更容易了解它們。,,,,,,,114,混合題-文本,Forum G,n.,"名詞
可數；複數: animals",,beast; creature,vegetable; mineral,,,,,,,
,,,L1,A2,,another,/əˋnʌðɚ/,(adj./pron.) 另一個的；再一個的,"Can I have another piece of cake, please? It's delicious!",我可以再吃一塊蛋糕嗎？它很好吃！,"After heated debates and discussions, the government was finally persuaded to consider another similarly effective method: giving the pigeons birth control.",經過激烈的辯論和討論，政府最終被說服考慮另一種同樣有效的方法：給鴿子避孕。,,,,,,,110,綜合測驗,Passage for 16-20,adj./pron.,,,different; additional,,,,,,,,
,,,L1,A1,,answer,/ˋænsɚ/,(n./v.) 答案；回答,"I knew the answer to the question on the test, so I felt confident.",我知道考題的答案，所以我很有自信。,"When asked what color is evoked by a letter or number, synesthetic people would persistently give the same answer even if tested months or years apart.",當被問及某個字母或數字會引發什麼顏色時，聯覺者會持續給出相同的答案，即使測試間隔數月或數年。,,,,,,,112,篇章結構,Passage for 31-34,n./v.,"動詞
過去式: answered
過去分詞: answered
現在分詞: answering
第三人稱: answers

名詞
可數；複數: answers",answer for 負責,reply; respond,inquiry; question,,,,,,,
,,,L1,B1,,ant,/ænt/,(n.) 螞蟻,An ant can carry food much heavier than itself.,螞蟻能搬運比自己重許多的食物。,Studies on jackdaws and turtle ants may provide some insights into the issue.,對寒鴉和龜蟻的研究或許能對此問題提供一些見解。,,,,,,,113,混合題-文本,Mixed Questions Passage for 47-50,n.,"名詞
可數；複數: ants",,,,,,,,,,
,,,L1,A1,,any,/ˋɛnɪ/,(pron./adj./adv.) 任何一個；任何一些,Do you have any questions about the lecture? Feel free to ask.,關於這次演講，你有任何問題嗎？請隨時提問。,"The walls of each capsule may be made of wood, metal or any rigid material, but are often fiberglass or plastic.",每個膠囊的牆壁可能由木頭、金屬或任何堅硬材料製成，但通常是玻璃纖維或塑膠。,,,,,,,114,篇章結構,Passage for Q31-34,pron./adj./adv.,,at any cost 無論如何,whatever; whatsoever,,,,,,,,
